Huawei_A104518R1V07
690 MHz, 960 MHz
Azimut
0
0
-0,005
-0,015
-0,02
-0,03
-0,035
-0,04
-0,045
-0,055
-0,12
-0,18
-0,305
-0,43
-0,55
-0,675
-0,795
-0,92
-1,04
-1,175
-1,305
-1,445
-1,575
-1,705
-1,835
-1,965
-2,12
-2,27
-2,425
-2,575
-2,73
-2,885
-3,035
-3,19
-3,335
-3,49
-3,645
-3,805
-3,96
-4,115
-4,27
-4,475
-4,68
-4,895
-5,11
-5,325
-5,54
-5,715
-5,895
-6,075
-6,255
-6,435
-6,62
-6,815
-7,01
-7,21
-7,405
-7,595
-7,795
-7,99
-8,185
-8,38
-8,575
-8,815
-9,055
-9,295
-9,53
-9,775
-10,025
-10,285
-10,545
-10,815
-11,08
-11,345
-11,61
-11,88
-12,145
-12,41
-12,68
-12,965
-13,245
-13,535
-13,82
-14,1
-14,39
-14,675
-14,955
-15,245
-15,53
-15,81
-16,09
-16,365
-16,645
-16,925
-17,2
-17,475
-17,755
-18,03
-18,305
-18,6
-18,89
-19,145
-19,4
-19,655
-19,915
-20,17
-20,425
-20,68
-20,935
-21,19
-21,45
-21,83
-22,215
-22,595
-22,98
-23,36
-23,745
-24,17
-24,595
-25,015
-25,435
-25,56
-25,685
-25,805
-25,93
-26,02
-26,11
-26,195
-26,285
-26,375
-26,465
-26,555
-26,64
-26,73
-26,725
-26,72
-26,71
-26,705
-26,7
-26,79
-26,885
-26,98
-27,08
-27,17
-27,265
-27,36
-27,455
-27,545
-27,645
-28,02
-28,39
-28,76
-28,87
-28,98
-29,03
-29,08
-29,125
-29,175
-29,225
-29,28
-29,325
-29,325
-29,325
-29,325
-29,325
-29,325
-29,33
-29,325
-29,325
-29,325
-29,325
-29,325
-29,325
-29,33
-29,325
-29,325
-29,325
-29,325
-29,325
-29,325
-29,33
-29,325
-29,325
-29,325
-29,325
-29,325
-29,325
-29,33
-29,325
-29,325
-29,325
-29,325
-29,325
-29,325
-29,33
-29,325
-29,325
-29,325
-29,325
-29,325
-29,325
-29,28
-29,225
-29,175
-29,125
-29,08
-29,03
-28,98
-28,87
-28,76
-28,39
-28,02
-27,645
-27,545
-27,455
-27,36
-27,265
-27,17
-27,08
-26,98
-26,885
-26,79
-26,7
-26,705
-26,71
-26,72
-26,725
-26,73
-26,64
-26,555
-26,465
-26,375
-26,285
-26,195
-26,11
-26,02
-25,93
-25,805
-25,685
-25,56
-25,435
-25,015
-24,595
-24,17
-23,745
-23,36
-22,98
-22,595
-22,215
-21,83
-21,45
-21,19
-20,935
-20,68
-20,425
-20,17
-19,915
-19,655
-19,4
-19,145
-18,89
-18,6
-18,305
-18,03
-17,755
-17,475
-17,2
-16,925
-16,645
-16,365
-16,09
-15,81
-15,53
-15,245
