Huawei_AOC4518R30V06
690 MHz, 960 MHz
Azimut
0
-0,01
-0,035
-0,065
-0,09
-0,12
-0,145
-0,17
-0,2
-0,22
-0,25
-0,275
-0,3
-0,33
-0,41
-0,49
-0,6
-0,705
-0,815
-0,92
-1,03
-1,135
-1,25
-1,365
-1,475
-1,59
-1,7
-1,815
-1,95
-2,09
-2,23
-2,36
-2,495
-2,625
-2,76
-2,895
-3,03
-3,2
-3,37
-3,545
-3,73
-3,915
-4,1
-4,285
-4,47
-4,655
-4,835
-5,02
-5,2
-5,375
-5,55
-5,715
-5,89
-6,055
-6,225
-6,425
-6,62
-6,815
-7,01
-7,205
-7,4
-7,595
-7,79
-8
-8,205
-8,41
-8,6
-8,785
-8,97
-9,16
-9,345
-9,53
-9,72
-9,94
-10,175
-10,41
-10,645
-10,875
-11,11
-11,34
-11,6
-11,855
-12,11
-12,365
-12,62
-12,875
-13,125
-13,39
-13,655
-13,92
-14,185
-14,485
-14,78
-15,08
-15,38
-15,655
-15,92
-16,195
-16,47
-16,74
-17,01
-17,285
-17,54
-17,79
-18,12
-18,45
-18,775
-19,11
-19,435
-19,765
-20,095
-20,415
-20,745
-21,07
-21,365
-21,65
-21,945
-22,235
-22,525
-22,815
-23,1
-23,38
-23,665
-23,945
-24,225
-24,495
-25,74
-26,03
-26,315
-26,6
-26,695
-26,785
-26,875
-26,96
-27,045
-27,13
-27,21
-27,29
-27,37
-27,45
-27,525
-27,6
-27,73
-27,855
-27,98
-28,105
-28,235
-28,36
-28,435
-28,515
-28,59
-28,675
-28,75
-28,83
-28,91
-28,985
-29,015
-29,04
-29,07
-29,1
-29,13
-29,16
-29,16
-29,155
-29,155
-29,155
-29,155
-29,16
-29,16
-29,155
-29,155
-29,155
-29,155
-29,16
-29,16
-29,155
-29,155
-29,155
-29,155
-29,16
-29,16
-29,16
-29,155
-29,155
-29,155
-29,155
-29,16
-29,16
-29,155
-29,155
-29,155
-29,155
-29,16
-29,16
-29,155
-29,155
-29,155
-29,155
-29,16
-29,16
-29,13
-29,1
-29,07
-29,04
-29,015
-28,985
-28,91
-28,83
-28,75
-28,675
-28,59
-28,515
-28,435
-28,36
-28,235
-28,105
-27,98
-27,855
-27,73
-27,6
-27,525
-27,45
-27,37
-27,29
-27,21
-27,13
-27,045
-26,96
-26,875
-26,785
-26,695
-26,6
-26,315
-26,03
-25,74
-24,495
-24,225
-23,945
-23,665
-23,38
-23,1
-22,815
-22,525
-22,235
-21,945
-21,65
-21,365
-21,07
-20,745
-20,415
-20,095
-19,765
-19,435
-19,11
-18,775
-18,45
-18,12
-17,79
-17,54
-17,285
-17,01
-16,74
-16,47
-16,195
-15,92
-15,655
-15,38
-15,08
-14,78
-14,485
-14,185
-13,92
-13,655
-13,39
