Nokia_5G_AIRSCALE_AQQE
3500 MHz, 3600 MHz
Azimut
0,00
-0,04
-0,07
-0,11
-0,14
-0,17
-0,21
-0,25
-0,28
-0,30
-0,32
-0,35
-0,37
-0,40
-0,42
-0,45
-0,49
-0,53
-0,58
-0,63
-0,68
-0,72
-0,77
-0,82
-0,88
-0,95
-1,02
-1,09
-1,20
-1,31
-1,42
-1,53
-1,64
-1,75
-1,85
-1,95
-2,05
-2,15
-2,25
-2,34
-2,44
-2,56
-2,66
-2,78
-2,89
-3,00
-3,12
-3,23
-3,34
-3,47
-3,64
-3,81
-3,98
-4,15
-4,32
-4,49
-4,66
-4,85
-5,04
-5,23
-5,43
-5,62
-5,81
-6,01
-6,21
-6,39
-6,58
-6,76
-6,95
-7,13
-7,36
-7,59
-7,83
-8,07
-8,31
-8,53
-8,76
-8,99
-9,23
-9,46
-9,69
-9,95
-10,20
-10,46
-10,71
-10,97
-11,23
-11,50
-11,77
-12,04
-12,34
-12,63
-12,93
-13,23
-13,53
-13,83
-14,15
-14,47
-14,80
-15,12
-15,44
-15,76
-16,10
-16,43
-16,76
-17,10
-17,44
-17,78
-18,13
-18,46
-18,80
-19,17
-19,54
-19,91
-20,28
-20,65
-21,02
-21,39
-21,76
-22,12
-22,55
-22,97
-23,39
-23,84
-24,29
-24,73
-25,17
-25,62
-26,06
-26,50
-26,95
-27,39
-27,83
-28,27
-28,72
-29,16
-29,39
-29,62
-29,62
-29,63
-29,63
-29,64
-29,64
-29,65
-29,65
-29,66
-29,66
-29,67
-29,67
-29,68
-29,69
-29,69
-29,70
-29,70
-29,70
-29,71
-29,71
-29,72
-29,73
-29,73
-29,74
-29,74
-29,74
-29,74
-29,74
-29,75
-29,75
-29,75
-29,75
-29,75
-29,76
-29,76
-29,76
-29,76
-29,76
-29,77
-29,77
-29,77
-29,77
-29,77
-29,77
-29,77
-29,77
-29,77
-29,77
-29,77
-29,76
-29,76
-29,76
-29,76
-29,76
-29,75
-29,75
-29,75
-29,75
-29,75
-29,74
-29,74
-29,74
-29,74
-29,74
-29,73
-29,73
-29,72
-29,71
-29,71
-29,70
-29,70
-29,70
-29,69
-29,69
-29,68
-29,67
-29,67
-29,66
-29,66
-29,65
-29,65
-29,64
-29,64
-29,63
-29,63
-29,62
-29,62
-29,39
-29,16
-28,72
-28,27
-27,83
-27,39
-26,95
-26,50
-26,06
-25,62
-25,17
-24,73
-24,29
-23,84
-23,39
-22,97
-22,55
-22,12
-21,76
-21,39
-21,02
-20,65
-20,28
-19,91
-19,54
-19,17
-18,80
-18,46
-18,13
-17,78
-17,44
-17,10
-16,76
-16,43
-16,10
-15,76
-15,44
-15,12
-14,80
-14,47
-14,15
-13,83
-13,53
-13,23
-12,93
-12,63
-12,34
-12,04
-11,77
-11,50
-11,23
-10,97
-10,71
-10,46
-10,20
-9,95
-9,69
-9,46
-9,23
-8,99
-8,76
-8,53
-8,31
-8,07
-7,83
-7,59
-7,36
-7,13
-6,95
-6,76
-6,58
-6,39
-6,21
-6,01
-5,81
-5,62
-5,43
-5,23
-5,04
-4,85
-4,66
-4,49
-4,32
-4,15
-3,98
-3,81
-3,64
-3,47
-3,34
-3,23
-3,12
-3,00
-2,89
-2,78
-2,66
-2,56
-2,44
-2,34
-2,25
-2,15
-2,05
-1,95
-1,85
-1,75
-1,64
-1,53
-1,42
-1,31
-1,20
-1,09
-1,02
-0,95
-0,88
-0,82
-0,77
-0,72
-0,68
-0,63
-0,58
-0,53
-0,49
-0,45
-0,42
-0,40
-0,37
-0,35
-0,32
-0,30
-0,28
-0,25
-0,21
-0,17
-0,14
-0,11
-0,07
-0,04
Elevation
0,00
-0,17
-0,33
-0,50
-0,67
-0,89
-1,10
-1,32
-1,81
-2,29
-2,78
-3,27
-3,75
-4,24
-5,08
-5,92
-6,76
-7,61
-8,45
-9,29
-10,64
-11,98
-13,33
-14,68
-16,02
-19,51
-22,99
-26,76
-30,53
-32,58
-34,64
-30,85
-27,07
-21,88
-20,67
-19,46
-18,88
-18,31
-17,73
-17,49
-17,25
-17,01
-17,10
-17,19
-17,28
-17,52
-17,76
-18,00
-18,23
-18,47
-18,71
-18,95
-19,19
-19,75
-20,30
-20,86
-21,41
-21,96
-22,52
-23,08
-23,63
-24,19
-24,74
-25,43
-26,12
-26,81
-27,50
-28,19
-29,09
-29,99
-30,88
-31,78
-32,68
-33,09
-33,50
-33,91
-34,32
-34,73
-35,15
-35,42
-35,69
-35,96
-36,23
-36,51
-36,54
-36,58
-36,61
-36,65
-36,68
-36,72
-36,75
-36,79
-36,82
-36,86
-36,89
-36,93
-36,97
-37,00
-37,04
-37,07
