Ericsson_5G_AIR_6449
3500 MHz, 3600 MHz
Azimut
0,00
-0,01
-0,01
-0,01
-0,01
-0,01
-0,02
-0,03
-0,04
-0,06
-0,07
-0,09
-0,10
-0,12
-0,15
-0,17
-0,20
-0,22
-0,23
-0,25
-0,27
-0,31
-0,34
-0,38
-0,41
-0,45
-0,50
-0,54
-0,59
-0,64
-0,68
-0,73
-0,77
-0,82
-0,88
-0,95
-1,01
-1,09
-1,18
-1,28
-1,41
-1,56
-1,66
-1,75
-1,88
-2,02
-2,16
-2,31
-2,53
-2,74
-2,97
-3,23
-3,50
-3,79
-4,06
-4,34
-4,60
-4,88
-5,17
-5,46
-5,73
-5,99
-6,23
-6,47
-6,72
-6,96
-7,16
-7,37
-7,56
-7,75
-7,94
-8,11
-8,30
-8,50
-8,71
-8,94
-9,14
-9,33
-9,50
-9,70
-9,92
-10,18
-10,45
-10,75
-11,06
-11,36
-11,62
-11,88
-12,14
-12,39
-12,72
-13,05
-13,40
-13,76
-14,13
-14,51
-14,89
-15,29
-15,70
-16,15
-16,60
-17,07
-17,53
-17,99
-18,43
-18,88
-19,30
-19,71
-20,12
-20,51
-20,90
-21,28
-21,66
-22,02
-22,55
-23,13
-23,75
-24,45
-25,22
-26,04
-26,88
-26,94
-26,99
-27,04
-27,09
-27,14
-27,20
-27,25
-27,30
-27,35
-27,40
-27,46
-27,51
-27,56
-27,61
-27,66
-27,72
-27,77
-27,82
-27,87
-27,92
-27,98
-28,03
-28,08
-28,13
-28,18
-28,23
-28,29
-28,34
-28,39
-28,44
-28,49
-28,55
-28,60
-28,65
-28,70
-28,75
-28,81
-28,86
-28,91
-28,96
-29,01
-29,07
-29,12
-29,17
-29,22
-29,27
-29,33
-29,38
-29,43
-29,48
-29,53
-29,58
-29,64
-29,69
-29,74
-29,79
-29,84
-29,90
-29,95
-30,00
-29,95
-29,90
-29,84
-29,79
-29,74
-29,69
-29,64
-29,58
-29,53
-29,48
-29,43
-29,38
-29,33
-29,27
-29,22
-29,17
-29,12
-29,07
-29,01
-28,96
-28,91
-28,86
-28,81
-28,75
-28,70
-28,65
-28,60
-28,55
-28,49
-28,44
-28,39
-28,34
-28,29
-28,23
-28,18
-28,13
-28,08
-28,03
-27,98
-27,92
-27,87
-27,82
-27,77
-27,72
-27,66
-27,61
-27,56
-27,51
-27,46
-27,40
-27,35
-27,30
-27,25
-27,20
-27,14
-27,09
-27,04
-26,99
-26,94
-26,88
-26,04
-25,22
-24,45
-23,75
-23,13
-22,55
-22,02
-21,66
-21,28
-20,90
-20,51
-20,12
-19,71
-19,30
-18,88
-18,43
-17,99
-17,53
-17,07
-16,60
-16,15
-15,70
-15,29
-14,89
-14,51
-14,13
-13,76
-13,40
-13,05
-12,72
-12,39
-12,14
-11,88
-11,62
-11,36
-11,06
-10,75
-10,45
-10,18
-9,92
-9,70
-9,50
-9,33
-9,14
-8,94
-8,71
-8,50
-8,30
-8,11
-7,94
-7,75
-7,56
-7,37
-7,16
-6,96
-6,72
-6,47
-6,23
-5,99
-5,73
-5,46
-5,17
-4,88
-4,60
-4,34
-4,06
-3,79
-3,50
-3,23
-2,97
-2,74
-2,53
-2,31
-2,16
-2,02
-1,88
-1,75
-1,66
-1,56
-1,41
-1,28
-1,18
-1,09
-1,01
-0,95
-0,88
-0,82
-0,77
-0,73
-0,68
-0,64
-0,59
-0,54
-0,50
-0,45
-0,41
-0,38
-0,34
-0,31
-0,27
-0,25
-0,23
-0,22
-0,20
-0,17
-0,15
-0,12
-0,10
-0,09
-0,07
-0,06
-0,04
-0,03
-0,02
-0,01
-0,01
-0,01
-0,01
-0,01
Elevation
0,00
-0,02
-0,08
-0,17
-0,33
-0,52
-0,77
-1,06
-1,41
-1,73
-2,19
-2,66
-3,18
-3,65
-4,36
-5,19
-5,90
-6,76
-8,07
-9,28
-10,47
-12,06
-15,49
-21,41
-23,22
-21,96
-19,98
-18,30
-17,00
-16,60
-16,00
-15,47
-14,67
-14,07
-13,80
-13,54
-13,35
-13,25
-13,21
-13,18
-13,13
-13,16
-13,25
-13,40
-13,61
-13,89
-14,13
-14,37
-14,65
-15,11
-15,66
-16,22
-16,80
-17,42
-18,12
-19,02
-20,15
-21,99
-23,66
-25,87
-28,59
-28,60
-28,62
-28,63
-28,64
-28,65
-28,66
-28,67
-28,69
-28,70
-28,71
-28,72
-28,73
-28,75
-28,76
-28,77
-28,78
-28,79
-28,80
-28,82
-28,83
-28,84
-28,85
-28,86
-28,87
-28,89
-28,90
-28,91
-28,92
-28,93
-28,94
-28,96
-28,97
-28,98
-28,99
-29,00
-29,01
-29,03
-29,04
-29,05
-29,06
