Huawei_A06240PA01V06
690 MHz, 960 MHz
Azimut
0,00
-0,02
-0,09
-0,11
-0,11
-0,14
-0,18
-0,19
-0,22
-0,25
-0,29
-0,37
-0,44
-0,49
-0,54
-0,61
-0,69
-0,79
-0,87
-0,93
-1,04
-1,13
-1,22
-1,35
-1,51
-1,65
-1,76
-1,87
-1,98
-2,08
-2,22
-2,39
-2,55
-2,72
-2,88
-3,03
-3,20
-3,37
-3,53
-3,68
-3,83
-4,03
-4,22
-4,36
-4,54
-4,74
-4,95
-5,14
-5,33
-5,52
-5,74
-5,95
-6,16
-6,36
-6,60
-6,83
-7,06
-7,28
-7,49
-7,71
-7,92
-8,12
-8,36
-8,62
-8,91
-9,15
-9,35
-9,56
-9,78
-10,05
-10,32
-10,59
-10,85
-11,11
-11,40
-11,70
-12,01
-12,33
-12,64
-12,91
-13,17
-13,44
-13,73
-14,01
-14,29
-14,56
-14,84
-15,17
-15,52
-15,85
-16,16
-16,47
-16,78
-17,09
-17,42
-17,79
-18,13
-18,41
-18,69
-18,98
-19,32
-19,66
-20,01
-20,30
-20,57
-20,84
-21,12
-21,43
-21,74
-22,00
-22,25
-22,49
-22,73
-23,03
-23,28
-23,47
-23,66
-23,85
-24,07
-24,32
-24,56
-24,76
-24,97
-25,18
-25,46
-25,92
-26,37
-26,41
-26,60
-26,78
-26,97
-27,16
-27,35
-27,38
-27,38
-27,46
-27,58
-27,70
-27,82
-27,93
-28,05
-28,17
-28,29
-28,37
-28,44
-28,51
-28,58
-28,65
-28,65
-28,65
-28,65
-28,65
-28,66
-28,66
-28,66
-28,66
-28,66
-28,67
-28,67
-28,67
-28,67
-28,67
-28,68
-28,68
-28,68
-28,60
-28,41
-28,26
-28,04
-27,93
-27,59
-27,24
-26,95
-26,71
-26,56
-26,40
-26,30
-26,19
-26,08
-26,04
-26,04
-26,04
-26,08
-26,19
-26,30
-26,40
-26,56
-26,71
-26,95
-27,24
-27,59
-27,93
-28,04
-28,26
-28,41
-28,60
-28,68
-28,68
-28,68
-28,67
-28,67
-28,67
-28,67
-28,67
-28,66
-28,66
-28,66
-28,66
-28,66
-28,65
-28,65
-28,65
-28,65
-28,65
-28,58
-28,51
-28,44
-28,37
-28,29
-28,17
-28,05
-27,93
-27,82
-27,70
-27,58
-27,46
-27,38
-27,38
-27,35
-27,16
-26,97
-26,78
-26,60
-26,41
-26,37
-25,92
-25,46
-25,18
-24,97
-24,76
-24,56
-24,32
-24,07
-23,85
-23,66
-23,47
-23,28
-23,03
-22,73
-22,49
-22,25
-22,00
-21,74
-21,43
-21,12
-20,84
-20,57
-20,30
-20,01
-19,66
-19,32
-18,98
-18,69
-18,41
-18,13
-17,79
-17,42
-17,09
-16,78
-16,47
-16,16
-15,85
-15,52
-15,17
-14,84
-14,56
-14,29
-14,01
-13,73
-13,44
-13,17
-12,91
-12,64
-12,33
-12,01
-11,70
-11,40
-11,11
-10,85
-10,59
-10,32
-10,05
-9,78
-9,56
-9,35
-9,15
-8,91
-8,62
-8,36
-8,12
-7,92
-7,71
-7,49
-7,28
-7,06
-6,83
-6,60
-6,36
-6,16
-5,95
-5,74
-5,52
-5,33
-5,14
-4,95
-4,74
-4,54
-4,36
-4,22
-4,03
-3,83
-3,68
-3,53
-3,37
-3,20
-3,03
-2,88
-2,72
-2,55
-2,39
-2,22
-2,08
-1,98
-1,87
-1,76
-1,65
-1,51
-1,35
-1,22
-1,13
-1,04
-0,93
-0,87
-0,79
-0,69
-0,61
-0,54
-0,49
-0,44
-0,37
-0,29
-0,25
-0,22
-0,19
-0,18
-0,14
-0,11
-0,11
-0,09
-0,02
Elevation
0,00
-0,14
-0,48
-1,09
-1,98
-3,06
-4,91
-7,16
-9,87
-13,81
-19,36
-21,11
-20,12
-17,86
-15,03
-14,26
-14,07
-14,41
-15,79
-17,44
-20,06
-23,52
-25,29
-25,95
-22,02
-19,56
-17,01
-15,93
-15,56
-15,74
-16,85
-18,64
-21,21
-23,72
-24,85
-25,79
-27,25
-27,27
-27,00
-26,74
-28,16
-25,20
-23,64
-21,34
-21,18
-21,76
-24,77
-25,86
-27,05
-27,78
-28,69
-28,83
-28,99
-29,15
-29,31
-29,47
-29,71
-29,64
-29,57
-29,51
-29,44
-29,37
-29,31
-29,24
-29,17
-29,11
-29,04
-28,97
-28,90
-28,84
-28,77
-28,70
-28,64
-28,56
-28,48
-28,39
-28,30
-28,21
-28,12
-28,04
-27,95
-28,87
-28,76
-27,98
-27,41
-27,25
-27,09
-28,07
-29,19
-27,90
-27,33
-27,95
-28,01
-28,07
-28,12
-28,18
-28,23
-28,29
-28,35
-28,40
-28,46
