Huawei_AOC4518R30V06
690 MHz, 960 MHz
Azimut
0,00
-0,02
-0,04
-0,04
-0,03
-0,03
-0,06
-0,10
-0,13
-0,17
-0,20
-0,26
-0,33
-0,41
-0,48
-0,59
-0,67
-0,75
-0,83
-0,91
-1,03
-1,16
-1,20
-1,32
-1,46
-1,60
-1,72
-1,86
-1,96
-2,08
-2,25
-2,40
-2,54
-2,67
-2,80
-2,94
-3,09
-3,29
-3,48
-3,64
-3,80
-3,97
-4,14
-4,31
-4,49
-4,66
-4,83
-4,98
-5,15
-5,35
-5,55
-5,77
-5,99
-6,19
-6,40
-6,61
-6,81
-7,01
-7,20
-7,41
-7,63
-7,85
-8,06
-8,29
-8,51
-8,73
-8,95
-9,18
-9,42
-9,65
-9,91
-10,18
-10,46
-10,74
-11,01
-11,29
-11,57
-11,85
-12,16
-12,47
-12,78
-13,09
-13,40
-13,72
-14,03
-14,34
-14,61
-14,88
-15,15
-15,50
-15,85
-16,09
-16,32
-16,54
-16,81
-17,08
-17,36
-17,63
-17,86
-18,10
-18,33
-18,57
-18,81
-19,05
-19,29
-19,52
-19,75
-19,98
-20,20
-20,44
-20,68
-20,96
-21,25
-21,54
-21,82
-22,11
-22,40
-22,68
-22,97
-23,26
-23,55
-23,84
-24,13
-24,42
-24,72
-25,03
-25,31
-25,59
-25,67
-25,76
-25,84
-25,93
-26,02
-26,10
-26,19
-26,27
-26,36
-26,44
-26,55
-26,66
-26,76
-26,87
-26,97
-27,07
-27,17
-27,27
-27,37
-27,57
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,77
-27,57
-27,37
-27,27
-27,17
-27,07
-26,97
-26,87
-26,76
-26,66
-26,55
-26,44
-26,36
-26,27
-26,19
-26,10
-26,02
-25,93
-25,84
-25,76
-25,67
-25,59
-25,31
-25,03
-24,72
-24,42
-24,13
-23,84
-23,55
-23,26
-22,97
-22,68
-22,40
-22,11
-21,82
-21,54
-21,25
-20,96
-20,68
-20,44
-20,20
-19,98
-19,75
-19,52
-19,29
-19,05
-18,81
-18,57
-18,33
-18,10
-17,86
-17,63
-17,36
-17,08
-16,81
-16,54
-16,32
-16,09
-15,85
-15,50
-15,15
-14,88
-14,61
-14,34
-14,03
-13,72
-13,40
-13,09
-12,78
-12,47
-12,16
-11,85
-11,57
-11,29
-11,01
-10,74
-10,46
-10,18
-9,91
-9,65
-9,42
-9,18
-8,95
-8,73
-8,51
-8,29
-8,06
-7,85
-7,63
-7,41
-7,20
-7,01
-6,81
-6,61
-6,40
-6,19
-5,99
-5,77
-5,55
-5,35
-5,15
-4,98
-4,83
-4,66
-4,49
-4,31
-4,14
-3,97
-3,80
-3,64
-3,48
-3,29
-3,09
-2,94
-2,80
-2,67
-2,54
-2,40
-2,25
-2,08
-1,96
-1,86
-1,72
-1,60
-1,46
-1,32
-1,20
-1,16
-1,03
-0,91
-0,83
-0,75
-0,67
-0,59
-0,48
-0,41
-0,33
-0,26
-0,20
-0,17
-0,13
-0,10
-0,06
-0,03
-0,03
-0,04
-0,04
-0,02
Elevation
0,00
0,00
-0,15
-0,68
-1,20
-1,73
-2,71
-4,07
-5,67
-8,16
-10,83
-16,39
-20,95
-18,37
-16,01
-14,79
-13,99
-13,99
-14,00
-14,82
-15,70
-17,54
-20,68
-22,52
-22,13
-21,74
-18,68
-17,58
-16,62
-16,10
-15,60
-15,37
-15,36
-15,36
-15,41
-15,62
-15,94
-16,84
-17,37
-18,13
-19,17
-20,32
-20,49
-20,66
-19,85
-19,19
-18,28
-17,95
-17,79
-17,91
-20,12
-20,13
-20,13
-18,92
-17,73
-17,67
-17,67
-17,77
-18,37
-18,88
-19,38
-19,87
-20,26
-20,26
-20,51
-20,51
-21,35
-22,07
-23,60
-24,49
-25,48
-26,14
-26,81
-26,81
-28,14
-28,87
-28,97
-29,08
-29,08
-29,60
-29,61
-29,62
-29,63
-29,64
-29,65
-29,66
-29,67
-29,68
-29,68
-29,69
-29,70
-29,71
-29,72
-29,73
-29,74
-29,75
-29,76
-29,76
-29,77
-29,78
-29,79
