Huawei_AQU4519R1V06
690 MHz, 960 MHz
Azimut
0
-0,025
-0,055
-0,08
-0,11
-0,135
-0,165
-0,19
-0,22
-0,3
-0,385
-0,47
-0,555
-0,635
-0,72
-0,805
-0,915
-1,015
-1,12
-1,225
-1,33
-1,43
-1,54
-1,66
-1,79
-1,91
-2,04
-2,16
-2,29
-2,42
-2,545
-2,67
-2,8
-2,93
-3,06
-3,19
-3,32
-3,455
-3,585
-3,725
-3,87
-4,01
-4,155
-4,31
-4,465
-4,62
-4,775
-4,93
-5,085
-5,305
-5,52
-5,74
-5,955
-6,175
-6,43
-6,68
-6,935
-7,185
-7,44
-7,69
-7,945
-8,195
-8,45
-8,7
-8,955
-9,235
-9,525
-9,805
-10,09
-10,405
-10,72
-11,03
-11,345
-11,655
-11,965
-12,275
-12,585
-12,89
-13,2
-13,505
-13,81
-14,12
-14,425
-14,735
-15,04
-15,35
-15,655
-15,96
-16,285
-16,61
-16,93
-17,25
-17,575
-17,895
-18,22
-18,545
-18,945
-19,355
-19,755
-20,16
-20,565
-20,97
-21,375
-21,675
-21,975
-22,32
-22,675
-23,025
-23,375
-23,725
-24,095
-24,46
-24,825
-25,195
-25,56
-25,87
-26,11
-26,34
-26,575
-26,81
-27,045
-27,28
-27,385
-27,49
-27,595
-27,7
-27,805
-28,055
-28,195
-28,335
-28,47
-28,56
-28,65
-28,74
-28,83
-28,925
-28,96
-29
-29,04
-29,08
-29,115
-29,155
-29,195
-29,235
-29,27
-29,315
-29,35
-29,39
-29,43
-29,43
-29,43
-29,43
-29,425
-29,43
-29,425
-29,43
-29,425
-29,43
-29,425
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,425
-29,43
-29,425
-29,43
-29,425
-29,43
-29,425
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,43
-29,425
-29,43
-29,425
-29,43
-29,425
-29,43
-29,425
-29,43
-29,43
-29,43
-29,43
-29,39
-29,35
-29,315
-29,27
-29,235
-29,195
-29,155
-29,115
-29,08
-29,04
-29
-28,96
-28,925
-28,83
-28,74
-28,65
-28,56
-28,47
-28,335
-28,195
-28,055
-27,805
-27,7
-27,595
-27,49
-27,385
-27,28
-27,045
-26,81
-26,575
-26,34
-26,11
-25,87
-25,56
-25,195
-24,825
-24,46
-24,095
-23,725
-23,375
-23,025
-22,675
-22,32
-21,975
-21,675
-21,375
-20,97
-20,565
-20,16
-19,755
-19,355
-18,945
-18,545
-18,22
-17,895
-17,575
-17,25
-16,93
-16,61
-16,285
-15,96
