Huawei_ASI4518R14v06
690 MHz, 960 MHz
Azimut
0
-0,005
-0,02
-0,04
-0,065
-0,105
-0,14
-0,18
-0,24
-0,305
-0,375
-0,455
-0,545
-0,65
-0,76
-0,875
-0,995
-1,11
-1,225
-1,335
-1,44
-1,535
-1,69
-1,84
-1,995
-2,14
-2,29
-2,435
-2,575
-2,72
-2,86
-3
-3,19
-3,385
-3,575
-3,73
-3,885
-4,045
-4,2
-4,36
-4,515
-4,675
-4,885
-5,095
-5,29
-5,475
-5,645
-5,82
-6,015
-6,205
-6,405
-6,595
-6,785
-6,98
-7,17
-7,355
-7,54
-7,73
-7,915
-8,1
-8,28
-8,49
-8,725
-8,95
-9,18
-9,405
-9,63
-9,855
-10,075
-10,295
-10,51
-10,73
-10,945
-11,17
-11,39
-11,615
-11,87
-12,12
-12,37
-12,62
-12,865
-13,11
-13,345
-13,58
-13,82
-14,05
-14,28
-14,51
-14,735
-14,975
-15,235
-15,495
-15,745
-15,995
-16,245
-16,485
-16,72
-16,95
-17,18
-17,405
-17,63
-17,86
-18,085
-18,33
-18,57
-18,815
-19,065
-19,315
-19,565
-19,815
-20,08
-20,345
-20,605
-20,875
-21,14
-21,41
-21,67
-21,925
-22,22
-22,515
-22,81
-23,105
-23,395
-23,725
-24,02
-24,315
-24,605
-24,875
-25,15
-25,42
-25,695
-26,06
-26,425
-26,865
-27,05
-27,235
-27,42
-27,55
-27,675
-27,76
-27,85
-27,94
-28,03
-28,08
-28,13
-28,18
-28,235
-28,28
-28,335
-28,38
-28,435
-28,485
-28,58
-28,68
-28,78
-28,875
-28,975
-29,02
-29,06
-29,11
-29,155
-29,2
-29,245
-29,29
-29,335
-29,38
-29,405
-29,42
-29,445
-29,46
-29,48
-29,505
-29,52
-29,545
-29,565
-29,58
-29,605
-29,625
-29,625
-29,625
-29,62
-29,625
-29,625
-29,625
-29,605
-29,58
-29,565
-29,545
-29,52
-29,505
-29,48
-29,46
-29,445
-29,42
-29,405
-29,38
-29,335
-29,29
-29,245
-29,2
-29,155
-29,11
-29,06
-29,02
-28,975
-28,875
-28,78
-28,68
-28,58
-28,485
-28,435
-28,38
-28,335
-28,28
-28,235
-28,18
-28,13
-28,08
-28,03
-27,94
-27,85
-27,76
-27,675
-27,55
-27,42
-27,235
-27,05
-26,865
-26,425
-26,06
-25,695
-25,42
-25,15
-24,875
-24,605
-24,315
-24,02
-23,725
-23,395
-23,105
-22,81
-22,515
-22,22
-21,925
-21,67
-21,41
-21,14
-20,875
-20,605
-20,345
-20,08
-19,815
-19,565
-19,315
-19,065
-18,815
-18,57
-18,33
-18,085
-17,86
-17,63
-17,405
-17,18
-16,95
-16,72
-16,485
-16,245
-15,995
-15,745
-15,495
-15,235
-14,975
-14,735
-14,51
